C4:C4   [2,3,4,1,5,6,7,8];[3,2,1,4,6,7,8,5]
M4(2)   [2,3,4,5,6,7,8,1];[5,2,7,4,1,6,3,8]
SD16    [2,3,4,5,6,7,8,1];[3,6,1,4,7,2,5,8]
V:C4    [2,1,4,3,5,6,7,8];[3,4,1,2,5,6,7,8];[3,2,1,4,6,7,8,5]
C3:S3    [2,3,1,4,5,6];[1,2,3,5,6,4];[2,1,3,5,4,6]
C4:D4   (1 2 3 4)(5 6 7 8)(9 10 11 12)(13 14 15 16);(1 6 15 9)(2 5 16 12)(3 8 13 11)(4 7 14 10);(1 4)(2 3)(5 11)(6 10)(7 9)(8 12)(13 16)(14 15)
C4:1D4  (1 2 3 4)(5 6 7 8)(9 10 11 12)(13 14 15 16);(1 6 14 11)(2 7 15 12)(3 8 16 9)(4 5 13 10);(1 5)(2 8)(3 7)(4 6)(9 15)(10 14)(11 13)(12 16)
C4oD8   (1 10 5 14)(2 11 6 15)(3 12 7 16)(4 13 8 9);(1 2 3 4 5 6 7 8)(9 10 11 12 13 14 15 16);(2 8)(3 7)(4 6)(9 11)(12 16)(13 15)
C4wrC2  (1 2 3 4)(5 6 7 8);(1 8)(2 7)(3 6)(4 5);(1 3)(2 4)(5 6 7 8)
C7:C3   [2,3,4,5,6,7,1];[1,3,5,7,2,4,6]
C8:C3   [2,3,4,5,6,7,8,1,10,11,12,13,14,15,16,9,18,19,20,21,22,23,24,17];[21,14,23,16,17,10,19,12,5,18,7,20,1,22,3,24,9,6,11,8,13,2,15,4]
C8:V    (1 2 3 4 5 6 7 8);(2 4)(3 7)(6 8);(1 5)(3 7)
C9:C3   [2,3,4,5,6,7,8,9,1];[1,8,6,4,2,9,7,5,3]
C8oD4   (1 2 3 4 5 6 7 8)(9 10 11 12 13 14 15 16);(1 7 5 3)(2 8 6 4)(9 11 13 15)(10 12 14 16);(1 9)(2 10)(3 11)(4 12)(5 13)(6 14)(7 15)(8 16)
D4:C3   [2,3,4,1,6,7,8,5,10,11,12,9];[9,5,11,7,10,3,12,1,8,2,6,4];[1,4,3,2,12,11,10,9,8,7,6,5]
D4:C4   (1 2 3 4)(5 6 7 8)(9 10 11 12)(13 14 15 16);(1 9)(2 12)(3 11)(4 10)(5 14)(6 13)(7 16)(8 15);(1 7 10 14)(2 6 11 13)(3 5 12 16)(4 8 9 15)
D4oD4   (1 2 3 4)(5 6 7 8);(1 4)(2 3)(5 8)(6 7);(1 5 3 7)(2 6 4 8);(1 7)(2 8)(3 5)(4 6)
D4oQ8   (1 2 3 4)(5 6 7 8)(9 10 11 12)(13 14 15 16);(1 16)(2 15)(3 14)(4 13)(5 11)(6 10)(7 9)(8 12);(1 11 3 9)(2 12 4 10)(5 14 7 16)(6 15 8 13);(1 4 3 2)(5 8 7 6)(9 10 11 12)(13 14 15 16)
He3     [2,3,1,5,6,4,8,9,7];[9,7,8,3,1,2,6,4,5];[3,9,6,7,4,1,5,2,8]
M5(2)   (1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16);(2 10)(4 12)(6 14)(8 16)
Q3:C3   [2,3,4,1,6,7,8,5];[7,6,5,8,1,4,3,2];[1,6,3,8,4,7,2,5]
SD32    (1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16);(2 8)(3 15)(4 6)(5 13)(7 11)(10 16)(12 14)
C4oD4   [2,3,4,1,6,7,8,5];[6,5,8,7,4,3,2,1];[7,8,5,6,3,4,1,2]
Sz(2)   [2,3,4,1,5];[5,2,4,3,1]
VwrC2   (1 2)(3 4)(5 6)(7 8);(1 5)(2 6)(3 8)(4 7);(1 6)(2 5)(3 8)(4 7);(1 2)(3 7)(4 8)(5 6);(1 4)(2 8)(3 5)(6 7)
C2^3:C4 (2 7)(3 8);(2 7)(4 5);(1 6)(2 7)(3 8)(4 5);(1 2 3 4)(5 6 7 8)
V:C8    (2 12)(4 14)(6 16)(8 10);(1 11)(2 12)(3 13)(4 14)(5 15)(6 16)(7 9)(8 10);(1 2 3 4 5 6 7 8)(9 10 11 12 13 14 15 16)
V:Q8    (5 13)(6 14)(7 15)(8 16);(1 9)(2 10)(3 11)(4 12)(5 13)(6 14)(7 15)(8 16);(1 2 3 4)(5 6 7 8)(9 10 11 12)(13 14 15 16);(1 14 3 16)(2 13 4 15)(5 12 7 10)(6 11 8 9)
C4^2:C2 (1 2 3 4)(5 6 7 8)(9 10 11 12)(13 14 15 16);(1 9 15 8)(2 10 16 5)(3 11 13 6)(4 12 14 7);(1 3)(2 14)(4 16)(5 12)(6 8)(7 10)(9 11)(13 15)
C4^2:2C2   (1 2 3 4)(5 6 7 8)(9 10 11 12)(13 14 15 16);(1 13 5 11)(2 14 6 12)(3 15 7 9)(4 16 8 10);(2 6)(4 8)(9 13)(10 12)(11 15)(14 16)
C4:C8   (1 23 31 10)(2 11 32 24)(3 17 25 12)(4 13 26 18)(5 19 27 14)(6 15 28 20)(7 21 29 16)(8 9 30 22);(1 2 3 4 5 6 7 8)(9 10 11 12 13 14 15 16)(17 18 19 20 21 22 23 24)(25 26 27 28 29 30 31 32)
C4:Q8   (1 2 3 4)(5 6 7 8)(9 10 11 12)(13 14 15 16)(17 18 19 20)(21 22 23 24)(25 26 27 28)(29 30 31 32);(1 7 22 10)(2 8 23 11)(3 5 24 12)(4 6 21 9)(13 18 25 29)(14 19 26 30)(15 20 27 31)(16 17 28 32);(1 14 22 26)(2 13 23 25)(3 16 24 28)(4 15 21 27)(5 32 12 17)(6 31 9 20)(7 30 10 19)(8 29 11 18)
C8:C4   (1 2 3 4 5 6 7 8)(9 10 11 12 13 14 15 16)(17 18 19 20 21 22 23 24)(25 26 27 28 29 30 31 32);(1 16 32 19)(2 13 25 24)(3 10 26 21)(4 15 27 18)(5 12 28 23)(6 9 29 20)(7 14 30 17)(8 11 31 22)
Q8:C4   (1 2 3 4)(5 6 7 8)(9 10 11 12)(13 14 15 16)(17 18 19 20)(21 22 23 24)(25 26 27 28)(29 30 31 32);(1 18 3 20)(2 17 4 19)(5 23 7 21)(6 22 8 24)(9 15 11 13)(10 14 12 16)(25 29 27 31)(26 32 28 30);(1 25 10 24)(2 28 11 23)(3 27 12 22)(4 26 9 21)(5 20 32 16)(6 19 29 15)(7 18 30 14)(8 17 31 13)
C4.D4   (1 3 5 7)(2 8 6 4);(1 2 3 4 5 6 7 8);(1 4 3 2 5 8 7 6)
C8.C4   (1 2 3 4 5 6 7 8)(9 10 11 12 13 14 15 16);(1 9 3 15 5 13 7 11)(2 16 4 14 6 12 8 10)
C4.4D4  (1 2 3 4)(5 6 7 8)(9 10 11 12)(13 14 15 16);(1 10 15 5)(2 11 16 6)(3 12 13 7)(4 9 14 8);(1 6 3 8)(2 5 4 7)(9 15 11 13)(10 14 12 16)
C8.V    (1 2 3 4 5 6 7 8)(9 10 11 12 13 14 15 16);(2 4)(3 7)(6 8)(10 12)(11 15)(14 16);(1 11)(2 16)(3 13)(4 10)(5 15)(6 12)(7 9)(8 14)
C4.10D4 (1 3 5 7)(2 8 6 4)(9 11 13 15)(10 16 14 12);(1 2 3 4 5 6 7 8)(9 10 11 12 13 14 15 16);(1 16 7 10 5 12 3 14)(2 9 4 15 6 13 8 11)
